〇	~⟨O⟩
蛍	~⟨RNC⟩
蛡	~⟨CEE⟩
蛯	~⟨CYPF⟩
螼	~⟨CRC⟩
衵	~⟨VDO⟩
袮	~⟨VNS⟩
裃	~⟨VFF⟩
装	~⟨GK⟩
覀	~⟨CO⟩
觧	~⟨NBH⟩
訳	~⟨IG⟩
誉	~⟨EIO⟩
読	~⟨IB⟩
謡	~⟨IUU⟩
豘	~⟨EQE⟩
貤	~⟨MBA⟩
赸	~⟨YZE⟩
践	~⟨OZK⟩
躎	~⟨OZR⟩
躹	~⟨SNM⟩
軜	~⟨CNB⟩
転	~⟨CTA⟩
軲	~⟨CJO⟩
軿	~⟨CBK⟩
轌	~⟨CUE⟩
辷	~⟨EWN⟩
辸	~⟨RWN⟩
边	~⟨DAW⟩
辺	~⟨DAW⟩
辻	~⟨JWN⟩
込	~⟨BWN⟩
迚	~⟨CWN⟩
醤	~⟨GCE⟩
釼	~⟨ADN⟩
鈂	~⟨AKL⟩
鈩	~⟨AFP⟩
鈬	~⟨ACN⟩
鈭	~⟨ZFA⟩
鈻	~⟨ABO⟩
鉊	~⟨ADO⟩
鉱	~⟨ALU⟩
鉷	~⟨ARB⟩
鋩	~⟨ARF⟩
錺	~⟨ARF⟩
鑓	~⟨ACEW⟩
閂	~⟨MEE⟩
閄	~⟨MBN⟩
閇	~⟨MFA⟩
閊	~⟨MEI⟩
閍	~⟨MFY⟩
闘	~⟨DI⟩
陦	~⟨BFA⟩
雫	~⟨UFA⟩
霡	~⟨UUU⟩
靍	~⟨UVNF⟩
靵	~⟨RCE⟩
靾	~⟨RCS⟩
鞐	~⟨RCFF⟩
頬	~⟨GTA⟩
颣	~⟨MST⟩
飮	~⟨XIN⟩
馲	~⟨MFG⟩
馿	~⟨MFF⟩
駅	~⟨MFCN⟩
駆	~⟨MFFO⟩
駬	~⟨MFR⟩
騂	~⟨MFL⟩
騋	~⟨MFL⟩
騒	~⟨MFUC⟩
験	~⟨MFA⟩
魞	~⟨UFB⟩
魲	~⟨UFF⟩
鮍	~⟨UFP⟩
鮏	~⟨UFS⟩
鮖	~⟨UFLO⟩
鮱	~⟨UFYF⟩
鮴	~⟨UFPT⟩
鯏	~⟨UFHR⟩
鯵	~⟨UFUM⟩
鱇	~⟨UFLW⟩
鱚	~⟨UFYO⟩
鳰	~⟨BNF⟩
鴎	~⟨FOOF⟩
鴗	~⟨LNF⟩
鴫	~⟨QNF⟩
鴬	~⟨FFNF⟩
鵆	~⟨MINI⟩
鵈	~⟨RNF⟩
鵤	~⟨NNF⟩
鶏	~⟨EQNF⟩
麇	~⟨LBH⟩
黒	~⟨QFA⟩
鼌	~⟨DEX⟩
鼡	~⟨SRQ⟩
齢	~⟨ZUAP⟩
礼	~⟨RSL⟩
福	~⟨RSEQ⟩
﨡	~⟨CSE⟩
﨣	~⟨YZD⟩
逸	~⟨EAW⟩
﨩	~⟨BNE⟩
