〇	~⟨O⟩
袮	~⟨VNS⟩
裃	~⟨VFF⟩
覀	~⟨CO⟩
觧	~⟨NBH⟩
訳	~⟨IG⟩
読	~⟨IB⟩
豘	~⟨EQE⟩
貤	~⟨MBA⟩
赸	~⟨YZE⟩
躹	~⟨SNM⟩
転	~⟨CTA⟩
轌	~⟨CUE⟩
轱	~⟨CJO⟩
辷	~⟨EWN⟩
辸	~⟨RWN⟩
辺	~⟨DAW⟩
辻	~⟨JWN⟩
込	~⟨BWN⟩
迚	~⟨CWN⟩
醤	~⟨GCE⟩
釼	~⟨ADN⟩
鈂	~⟨AKL⟩
鈩	~⟨AFP⟩
鈬	~⟨ACN⟩
鈭	~⟨ZFA⟩
鈻	~⟨ABO⟩
鉱	~⟨ALU⟩
錺	~⟨ARF⟩
鑓	~⟨ACEW⟩
铓	~⟨ARF⟩
閄	~⟨MBN⟩
閇	~⟨MFA⟩
閊	~⟨MEI⟩
闘	~⟨DI⟩
闩	~⟨MEE⟩
雫	~⟨UFA⟩
靍	~⟨UVNF⟩
靵	~⟨RCE⟩
靾	~⟨RCS⟩
鞐	~⟨RCFF⟩
頬	~⟨GTA⟩
飮	~⟨XIN⟩
馲	~⟨MFG⟩
馿	~⟨MFF⟩
駅	~⟨MFCN⟩
駆	~⟨MFFO⟩
駬	~⟨MFR⟩
騋	~⟨MFL⟩
騒	~⟨MFUC⟩
験	~⟨MFA⟩
骍	~⟨MFL⟩
魞	~⟨UFB⟩
魲	~⟨UFF⟩
鮏	~⟨UFS⟩
鮖	~⟨UFLO⟩
鮱	~⟨UFYF⟩
鮴	~⟨UFPT⟩
鯏	~⟨UFHR⟩
鯵	~⟨UFUM⟩
鲏	~⟨UFP⟩
鳰	~⟨BNF⟩
鴎	~⟨FOOF⟩
鴫	~⟨QNF⟩
鴬	~⟨FFNF⟩
鵆	~⟨MINI⟩
鵈	~⟨RNF⟩
鵤	~⟨NNF⟩
鶏	~⟨EQNF⟩
麇	~⟨LBH⟩
黒	~⟨QFA⟩
鼡	~⟨SRQ⟩
齢	~⟨ZUAP⟩
礼	~⟨RSL⟩
福	~⟨RSEQ⟩
﨡	~⟨CSE⟩
﨣	~⟨YZD⟩
逸	~⟨EAW⟩
﨩	~⟨BNE⟩
𨸂	~⟨MFY⟩
𩾌	~⟨UFLW⟩
𪸩	~⟨FNC⟩
𪺽	~⟨LAD⟩
𫁡	~⟨LNF⟩
𫐇	~⟨CNB⟩
𫐌	~⟨CBK⟩
𫝨	~⟨GNC⟩
𫟹	~⟨ARB⟩
𬬿	~⟨ADO⟩
𬶮	~⟨UFYO⟩
