$	~⟨,SI^F⟩⟨,DOL^R⟩
₮	~⟨,TM⟩⟨,TPP⟩⟨,TUG⟩
₯	~⟨,DRA⟩⟨,DP^V⟩
℀	~⟨,APC⟩
℁	~⟨,APS⟩
ℂ	~⟨,CC^V⟩⟨,CI^S⟩
℃	~⟨,OCW⟩
℄	~⟨,CL⟩⟨,LC⟩
℅	~⟨,CPO⟩
℆	~⟨,CPU⟩
℉	~⟨,OFW⟩
№	~⟨,NO⟩⟨,NO.⟩⟨,NOE⟩
℡	~⟨,TEL⟩
⅓	~⟨,EPS⟩
⅔	~⟨,RPS⟩
⅕	~⟨,EPW⟩
⅖	~⟨,RPW⟩
⅗	~⟨,SPW⟩
⅘	~⟨,FPW⟩
⅙	~⟨,EPL⟩
⅚	~⟨,WPL⟩
⅛	~⟨,EPB⟩
⅜	~⟨,SPB⟩
⅝	~⟨,WPB⟩
⅞	~⟨,CPB⟩
⅟	~⟨,EP⟩
Ⅰ	~⟨,E^V⟩
Ⅱ	~⟨,R^V⟩
Ⅳ	~⟨,F^V⟩
Ⅴ	~⟨,W^V⟩
Ⅵ	~⟨,L^V⟩
Ⅶ	~⟨,C^V⟩
Ⅷ	~⟨,B^V⟩
Ⅹ	~⟨,J⟩
Ⅺ	~⟨,JE^V⟩
Ⅻ	~⟨,JR⟩
ⅰ	~⟨,EB⟩
ⅱ	~⟨,RB⟩
ⅲ	~⟨,SC⟩
ⅳ	~⟨,F^F⟩
ⅴ	~⟨,WW⟩
ⅷ	~⟨,BW⟩
ⅸ	~⟨,K^F⟩⟨V[^V⟩
ⅹ	~⟨,JW⟩⟨V]^V⟩
ⅺ	~⟨,JE^R⟩
ⅻ	~⟨,JR^V⟩
ↀ	~⟨,OI^R⟩
ↁ	~⟨,DC^V⟩
ↂ	~⟨,OCI⟩⟨,OCJ⟩⟨,OIO⟩⟨,OOI⟩
←	~⟨,ZE⟩⟨,Z^F⟩
↑	~⟨,ZI⟩⟨,Z^R⟩
→	~⟨,EZ⟩
↓	~⟨,IZ⟩⟨,Z^V⟩
↔	~⟨,ZEZ⟩
↖	~⟨,ZB⟩⟨,ZN⟩
↗	~⟨,ZC⟩⟨,ZP⟩
↘	~⟨,NZ⟩⟨,ZW⟩
↙	~⟨,PZ⟩
↚	~⟨,ZX⟩
↛	~⟨,XZ⟩
↜	~⟨,ZS⟩
↝	~⟨,SZ⟩
↞	~⟨,ZZE⟩
↟	~⟨,ZZI⟩
↠	~⟨,EZZ⟩
↡	~⟨,IZZ⟩
↢	~⟨,ZEZ^V⟩
↣	~⟨,ZEZ^R⟩
↤	~⟨,ZEI⟩
↥	~⟨,ZIE⟩⟨,ZL^V⟩
↦	~⟨,IEZ⟩
↧	~⟨,TZ^V⟩
↨	~⟨,ZIZ⟩
↩	~⟨,ZL^R⟩
↪	~⟨,LZ⟩
↫	~⟨,ZJ⟩
↬	~⟨,JZ⟩
↭	~⟨,ZSZ⟩⟨,ZWZ⟩
↮	~⟨,ZXZ⟩
↯	~⟨,UZ⟩⟨,NZ^V⟩⟨,ZZ^R⟩
∀	~⟨,ALL⟩⟨,A^S⟩
∃	~⟨,XXW⟩
∅	~⟨,SET⟩⟨,OP^S⟩
∉	~⟨,EI^R⟩⟨,EP^V⟩
∏	~⟨,PRO⟩
∑	~⟨,SUM⟩
∓	~⟨,EJ⟩
√	~⟨,TO⟩⟨,VE⟩⟨,VK⟩
∝	~⟨,OFB⟩
∞	~⟨,BL⟩⟨,VBD⟩⟨,OO^R⟩
∟	~⟨,LW⟩
∠	~⟨,LL⟩⟨,L^F⟩
∣	~⟨,I^V⟩
∤	~⟨,IP⟩⟨,IPX⟩⟨,XXL⟩
∥	~⟨,PP^R⟩⟨,SS^S⟩
∧	~⟨,VL⟩⟨[VB⟩⟨,[VC⟩
∨	~⟨,VC⟩⟨]VB⟩⟨,]VL⟩⟨,GGVL⟩
∩	~⟨,CAP⟩⟨,HAT⟩
∪	~⟨,CUP⟩⟨,U^R⟩
∮	~⟨,CON⟩⟨,SO^V⟩
∴	~⟨,FU⟩⟨...^R⟩⟨,...^V⟩
∵	~⟨,...⟩⟨,OBC⟩⟨...^V⟩
∶	~⟨,RAT⟩⟨,..^S⟩
∷	~⟨,FA^S⟩
∼	~⟨,SK⟩
≅	~⟨,SR^S⟩
≈	~⟨,RS^S⟩⟨,SS^R⟩
≌	~⟨,SR^F⟩
≑	~⟨,.R.^V⟩
≒	~⟨,.R.⟩
≠	~⟨,PR⟩⟨,QC⟩⟨,QX⟩⟨,RP⟩⟨,RPX⟩
≡	~⟨,SE⟩⟨,SW⟩
≤	~⟨,LR^S⟩⟨,VE^V⟩⟨,VR^R⟩
≥	~⟨,LR^F⟩⟨,VR^S⟩
≦	~⟨,LR⟩⟨,VR⟩⟨,BR^V⟩
≧	~⟨,BR⟩⟨,LR^V⟩⟨,VR^V⟩
≮	~⟨,SIW⟩⟨,VI^V⟩
≯	~⟨,DI⟩⟨,VI^R⟩
⊙	~⟨,O.⟩
⊥	~⟨,LE^V⟩
⊿	~⟨,SN^F⟩
⌒	~⟨,NL⟩
①	~⟨,OE⟩
②	~⟨,OR⟩
③	~⟨,OS⟩
④	~⟨,FC⟩⟨,OF⟩
⑤	~⟨,OW⟩⟨,WC⟩
⑥	~⟨,OL⟩
⑦	~⟨,CW⟩⟨,OC⟩
⑧	~⟨,OB⟩
⑨	~⟨,OK⟩
⑩	~⟨,OJ⟩⟨,OEO⟩
⑪	~⟨,OEE⟩⟨,OJE⟩
⑫	~⟨,OER⟩⟨,OJR⟩
⑬	~⟨,OES⟩⟨,OJS⟩
⑭	~⟨,OEF⟩⟨,OJF⟩
⑮	~⟨,OEW⟩⟨,OJW⟩
⑯	~⟨,OEL⟩⟨,OJL⟩
⑰	~⟨,OEC⟩⟨,OJC⟩
⑱	~⟨,OEB⟩⟨,OJB⟩
⑲	~⟨,OEK⟩⟨,OJK⟩
⑳	~⟨,ORJ⟩⟨,ORO⟩
⑴	~⟨,GE⟩
⑵	~⟨,GR⟩
⑶	~⟨,GS⟩
⑷	~⟨,GF⟩
⑸	~⟨,GW⟩⟨,WL⟩
⑹	~⟨,GL⟩⟨,LK⟩
⑺	~⟨,GC⟩⟨,C^F⟩
⑻	~⟨,BC⟩⟨,GB⟩
⑼	~⟨,GK⟩
⑽	~⟨,GJ⟩⟨,GEO⟩
⑾	~⟨,GEE⟩⟨,GJE⟩
⑿	~⟨,GER⟩⟨,GJR⟩
⒀	~⟨,GES⟩⟨,GJS⟩
⒁	~⟨,GEF⟩⟨,GJF⟩
⒂	~⟨,GEW⟩⟨,GJW⟩
⒃	~⟨,GEL⟩⟨,GJL⟩
⒄	~⟨,GEC⟩⟨,GJC⟩
⒅	~⟨,GEB⟩⟨,GJB⟩
⒆	~⟨,GEK⟩⟨,GJK⟩
⒇	~⟨,GRJ⟩⟨,GRO⟩
⒈	~⟨,E.⟩
⒉	~⟨,R.⟩
⒊	~⟨,S.⟩
⒋	~⟨,F.⟩
⒌	~⟨,W.⟩
⒍	~⟨,L.⟩
⒎	~⟨,C.⟩
⒏	~⟨,B.⟩
⒐	~⟨,K.⟩
⒑	~⟨,J.⟩⟨,EO.⟩
⒒	~⟨,EE.⟩⟨,JE.⟩
⒓	~⟨,ER.⟩⟨,JR.⟩
⒔	~⟨,ES.⟩⟨,JS.⟩
⒕	~⟨,EF.⟩⟨,JF.⟩
⒖	~⟨,EW.⟩⟨,JW.⟩
⒗	~⟨,EL.⟩⟨,JL.⟩
⒘	~⟨,EC.⟩⟨,JC.⟩
⒙	~⟨,EB.⟩⟨,JB.⟩
⒚	~⟨,EK.⟩⟨,JK.⟩
⒛	~⟨,RJ.⟩⟨,RO.⟩
⒜	~⟨,GA⟩
⒝	~⟨,GB^R⟩
⒞	~⟨,GC^R⟩
⒟	~⟨,GD⟩
⒡	~⟨,GF^R⟩
⒣	~⟨,GH⟩
⒤	~⟨,GI⟩
⒦	~⟨,GK^R⟩
⒧	~⟨,GL^R⟩
⒨	~⟨,GM⟩
⒩	~⟨,GN⟩
⒪	~⟨,GO^V⟩
⒫	~⟨,GP⟩
⒬	~⟨,GQ⟩
⒮	~⟨,GS^R⟩
⒯	~⟨,GT⟩
⒰	~⟨,GU⟩
⒱	~⟨,GVC⟩
⒲	~⟨,GW^R⟩
⒳	~⟨,GX⟩
⒴	~⟨,GY⟩
⒵	~⟨,GZ⟩
Ⓐ	~⟨,OA^R⟩
Ⓑ	~⟨,OBW⟩
Ⓒ	~⟨,OCL⟩
Ⓓ	~⟨,OD⟩
Ⓕ	~⟨,OFL⟩
Ⓖ	~⟨,OG⟩
Ⓗ	~⟨,OH⟩
Ⓘ	~⟨,OI⟩
Ⓚ	~⟨,OKW⟩
Ⓜ	~⟨,OM⟩
Ⓝ	~⟨,ON⟩
Ⓞ	~⟨,OO^F⟩
Ⓟ	~⟨,OP^V⟩
Ⓠ	~⟨,OQ⟩
Ⓡ	~⟨,ORW⟩
Ⓢ	~⟨,OSW⟩
Ⓣ	~⟨,OT⟩
Ⓤ	~⟨,OU^V⟩
Ⓥ	~⟨,OV⟩
Ⓦ	~⟨,OWW⟩
Ⓧ	~⟨,OX⟩
Ⓨ	~⟨,OY⟩
Ⓩ	~⟨,OZ⟩
ⓐ	~⟨,OA^S⟩
ⓑ	~⟨,OBL⟩
ⓒ	~⟨,OCC⟩
ⓓ	~⟨,OD^V⟩
ⓕ	~⟨,OFC⟩
ⓖ	~⟨,OG^V⟩
ⓗ	~⟨,OH^V⟩
ⓘ	~⟨,OI^V⟩
ⓚ	~⟨,OKL⟩
ⓛ	~⟨,OLL⟩
ⓜ	~⟨,OM^V⟩
ⓝ	~⟨,ON^V⟩
ⓞ	~⟨,OOW⟩
ⓟ	~⟨,OP^R⟩
ⓠ	~⟨.OQ⟩
ⓡ	~⟨,ORL⟩
ⓢ	~⟨,OSL⟩
ⓣ	~⟨,OT^V⟩
ⓤ	~⟨,OU^R⟩
ⓥ	~⟨,OV^V⟩
ⓦ	~⟨,OWL⟩
ⓧ	~⟨,OX^V⟩
ⓩ	~⟨,OZ^V⟩
⓪	~⟨,OO⟩
─	~⟨,EE^S⟩
━	~⟨..K⟩
┃	~⟨,IC⟩
┄	~⟨,...L⟩⟨,EEE^S⟩
┅	~⟨,...C⟩⟨,EEE^F⟩
┆	~⟨,...^R⟩
┇	~⟨,...^S⟩
┈	~⟨,...B⟩⟨,EEEW⟩
┉	~⟨,...K⟩⟨,EEEL⟩
┊	~⟨,...^F⟩
┋	~⟨,...W⟩
┬	~⟨,T^V⟩
═	~⟨,RC⟩
╡	~⟨,RI⟩
╪	~⟨,QL⟩
╭	~⟨,Q^R⟩
╮	~⟨,Q^S⟩
╯	~⟨,QW⟩
╰	~⟨,Q^F⟩
▂	~⟨,FNB⟩
▃	~⟨,EF⟩
▄	~⟨,EF^V⟩
▅	~⟨,FNC⟩
▆	~⟨,FNL⟩
▇	~⟨,FNW⟩
█	~⟨,FN^F⟩
▉	~⟨,EFB⟩
▊	~⟨,EFC⟩
▋	~⟨,EFL⟩
▌	~⟨,EFW⟩
▍	~⟨,EF^F⟩
▎	~⟨,EF^S⟩
▏	~⟨,EF^R⟩
■	~⟨,FN^V⟩
□	~⟨,FN⟩⟨,OO^V⟩
▲	~⟨,SN^R⟩
△	~⟨,SN⟩
▼	~⟨,SN^S⟩
▽	~⟨,SN^V⟩
◆	~⟨,FN^S⟩
◇	~⟨,FN^R⟩
○	~⟨O⟩
◎	~⟨,OO^S⟩
◢	~⟨,SNK⟩
◣	~⟨,SNC⟩
◤	~⟨,SNB⟩
◥	~⟨,SNL⟩
☀	~⟨,BS^R⟩⟨,DB^S⟩⟨,DO^S⟩⟨,SUN^R⟩
☄	~⟨,WD⟩⟨,COM⟩
★	~⟨,STA⟩⟨,DS^R⟩⟨,DSE^V⟩
☆	~⟨,DSE⟩⟨,DS^V⟩⟨,STA^V⟩
☉	~⟨,BS^V⟩⟨,DB^R⟩⟨,DO^R⟩⟨,SUN^V⟩
☎	~⟨,UI⟩⟨,TEL^V⟩
☏	~⟨,UI^V⟩⟨,TEL^R⟩
☚	~⟨,HJ⟩⟨,PX^S⟩⟨,XI^R⟩
☛	~⟨,XO⟩⟨,HJ^V⟩⟨,PX^F⟩
☜	~⟨,PXW⟩⟨,HJ^R⟩⟨,XI^S⟩
☝	~⟨,FE^V⟩⟨,HJ^S⟩⟨,PF^V⟩
☞	~⟨,PXL⟩⟨,HJ^F⟩⟨,XO^V⟩
☟	~⟨,HJW⟩⟨,FA^V⟩⟨,PF^R⟩
☩	~⟨,CROB⟩⟨,JNDB⟩
☮	~⟨,HP⟩⟨,OSC⟩⟨,PEA⟩
☯	~⟨,BB⟩⟨,BY⟩⟨,DT⟩⟨,YY⟩⟨,OBB⟩⟨,ODU⟩⟨,OS.⟩⟨,OSA⟩⟨,OSB⟩⟨,OYY⟩⟨,YIN⟩
☰	~⟨,HEA⟩⟨,BY^V⟩⟨,EEE^R⟩
☱	~⟨,LAK⟩⟨,REE⟩⟨,BY^R⟩
☲	~⟨,ERE⟩⟨,FIR⟩⟨,BY^S⟩
☳	~⟨,RRE⟩⟨,THU⟩⟨,BY^F⟩
☴	~⟨,BYW⟩⟨,EER⟩⟨,WIN⟩
☵	~⟨,BYL⟩⟨,RER⟩⟨,WAT⟩
☶	~⟨,BYC⟩⟨,ERR⟩⟨,MOU⟩
☷	~⟨,BYB⟩⟨,EAR⟩⟨,RRR⟩
☹	~⟨,FAC⟩⟨,OBN⟩⟨,OOA⟩⟨,OOD⟩⟨,UAB⟩⟨,UAO⟩⟨,OU^S⟩
☺	~⟨,ZU⟩⟨,OBU⟩⟨,ZED⟩⟨,ZGN⟩⟨,FAC^V⟩⟨,UAB^V⟩⟨,UAO^V⟩
☻	~⟨,ZU^V⟩⟨,FAC^R⟩⟨,OBU^V⟩⟨,UAB^R⟩⟨,UAO^R⟩⟨,ZED^V⟩⟨,ZGN^V⟩
☼	~⟨,BS⟩⟨,SUN⟩⟨,DB^V⟩⟨,DO^V⟩
☽	~⟨,UE⟩⟨,FQU⟩⟨,MOO⟩⟨,UL^V⟩
☾	~⟨,UE^V⟩⟨,UL^R⟩⟨,FQU^V⟩⟨,MOO^V⟩
♀	~⟨,WO⟩⟨,W^F⟩
♂	~⟨,SO⟩⟨,ZO⟩
♔	~⟨,KIN⟩
♕	~⟨,QUE⟩
♖	~⟨,ROO⟩
♗	~⟨,BIS⟩
♘	~⟨,KNI⟩
♙	~⟨,PAW⟩
♚	~⟨,KIN^V⟩
♛	~⟨,QUE^V⟩
♜	~⟨,ROO^V⟩
♝	~⟨,BIS^V⟩
♞	~⟨,KNI^V⟩
♟	~⟨,PAW^V⟩
♠	~⟨,QT⟩⟨,SPA⟩
♡	~⟨,EH^R⟩⟨,HA^V⟩⟨,HH^V⟩⟨,SH^R⟩⟨,HEA^R⟩⟨,LOV^V⟩
♢	~⟨,AL⟩⟨,DIA⟩⟨,FY^V⟩
♣	~⟨,SR⟩⟨,TR⟩⟨,CLU⟩
♤	~⟨,ST⟩⟨,SPA^V⟩
♥	~⟨,HA⟩⟨,HH⟩⟨,LOV⟩⟨,EH^V⟩⟨,SH^V⟩⟨,HEA^V⟩
♦	~⟨,AL^V⟩⟨,FY^R⟩⟨,DIA^V⟩
♧	~⟨,SR^V⟩⟨,TR^V⟩⟨,CLU^V⟩
♨	~⟨,WP⟩⟨,SPR⟩
✁	~⟨,BD⟩⟨,SCI⟩
✂	~⟨,BD^V⟩⟨,SCI^V⟩
✃	~⟨,BD^R⟩⟨,SCI^R⟩
✄	~⟨,BD^S⟩⟨,SCI^S⟩
✆	~⟨,UI^R⟩⟨,TEL^S⟩
✈	~⟨,FG⟩⟨,FT⟩⟨,TY⟩⟨,ZT⟩⟨,AIR⟩⟨,FGY⟩⟨,FTY⟩⟨,ZTY⟩⟨,GY^V⟩
✉	~⟨,PY⟩⟨,ENV⟩
✓	~⟨,CHE⟩⟨,V^F⟩
✔	~⟨,VW⟩⟨,CHE^V⟩
✕	~⟨,XC⟩⟨,XX^V⟩
✖	~⟨,XB⟩⟨,XX^R⟩
✗	~⟨,XK⟩⟨,XX^S⟩
✘	~⟨,XX^F⟩
✙	~⟨,FB⟩⟨,JC⟩⟨,CRO⟩⟨,JND⟩⟨,JJ^S⟩
✚	~⟨,JB⟩⟨,FB^V⟩⟨,JJ^F⟩⟨,CRO^V⟩⟨,JND^V⟩
✛	~⟨,JK⟩⟨,JJW⟩⟨,CRO^R⟩⟨,JND^R⟩
✜	~⟨,JJL⟩⟨,CRO^S⟩⟨,JND^S⟩
✝	~⟨,XS⟩⟨,YS⟩⟨,JJC⟩⟨,CRO^F⟩⟨,JND^F⟩
✞	~⟨,JJB⟩⟨,CROW⟩⟨,JNDW⟩⟨,XS^V⟩⟨,YS^V⟩
✟	~⟨,JJK⟩⟨,CROL⟩⟨,JNDL⟩⟨,XS^R⟩⟨,YS^R⟩
✠	~⟨,CROC⟩⟨,JNDC⟩
✡	~⟨,UND⟩
✩	~⟨,DS^F⟩⟨,DSE^R⟩⟨,STA^R⟩
✪	~⟨,DSW⟩⟨,DSE^S⟩⟨,STA^S⟩
✫	~⟨,DSL⟩⟨,DSE^F⟩⟨,STA^F⟩
✬	~⟨,DSC⟩⟨,DSEW⟩⟨,STAW⟩
✭	~⟨,DSB⟩⟨,DSEL⟩⟨,STAL⟩
✮	~⟨,DSK⟩⟨,DSEC⟩⟨,STAC⟩
✯	~⟨,DSEB⟩⟨,STAB⟩
✰	~⟨,DSEK⟩⟨,STAK⟩
❤	~⟨,EH^S⟩⟨,HA^R⟩⟨,HH^R⟩⟨,SH^S⟩⟨,HEA^S⟩⟨,LOV^R⟩
❥	~⟨,EH^F⟩⟨,HA^S⟩⟨,HH^S⟩⟨,SH^F⟩⟨,HEA^F⟩⟨,LOV^S⟩
❦	~⟨,EHW⟩⟨,SHW⟩⟨,HEAW⟩⟨,HA^F⟩⟨,HH^F⟩⟨,LOV^F⟩
❧	~⟨,EHL⟩⟨,HAW⟩⟨,HHW⟩⟨,SHL⟩⟨,HEAL⟩⟨,LOVW⟩
❸	~⟨,OS^R⟩
❹	~⟨,OF^R⟩
❺	~⟨,OW^R⟩
❻	~⟨,OL^R⟩
❼	~⟨,OC^R⟩
❽	~⟨,OB^R⟩
❾	~⟨,OK^R⟩
❿	~⟨,OEO^R⟩
➂	~⟨,OS^S⟩
➃	~⟨,OF^S⟩
➄	~⟨,OW^S⟩
➅	~⟨,OL^S⟩
➆	~⟨,OC^S⟩
➇	~⟨,OB^S⟩
➈	~⟨,OK^S⟩
➉	~⟨,OEO^S⟩
➌	~⟨,OS^F⟩
➍	~⟨,OF^F⟩
➎	~⟨,OW^F⟩
➏	~⟨,OL^F⟩
➐	~⟨,OC^F⟩
➑	~⟨,OB^F⟩
➒	~⟨,OK^F⟩
➓	~⟨,OEO^F⟩
、	~⟨'⟩⟨VV⟩⟨,.C⟩⟨,'^F⟩
。	~⟨.⟩⟨,.W⟩
〃	~⟨,PP^V⟩⟨,RP^V⟩
〄	~⟨,JIS⟩⟨,OJI⟩
々	~⟨,KA⟩⟨,NA⟩⟨,KAA⟩⟨,NAA⟩⟨KAA^S⟩⟨NAA^R⟩
〆	~⟨,X^R⟩
〈	~⟨[C⟩⟨,,^R⟩⟨,[^F⟩
〉	~⟨]C⟩⟨,.^R⟩⟨,]^F⟩
《	~⟨,,,⟩⟨,,C⟩⟨[[^F⟩⟨,[[^F⟩
》	~⟨..C⟩⟨]]^F⟩⟨,..^V⟩⟨,]]^F⟩
「	~⟨[⟩⟨,,⟩⟨,[⟩
」	~⟨]⟩⟨,V⟩⟨,]⟩⟨,,V⟩
『	~⟨[[⟩⟨,[[⟩
』	~⟨]]⟩⟨,]]⟩
【	~⟨[^F⟩⟨,[^S⟩⟨[[^R⟩⟨,DG^V⟩⟨,[[^R⟩
】	~⟨,DGG⟩⟨]^F⟩⟨,]^S⟩⟨]]^R⟩⟨,DG^R⟩⟨,]]^R⟩
〒	~⟨,POS⟩⟨,RII⟩
〔	~⟨,[^R⟩
〕	~⟨,]^R⟩⟨,GG^R⟩
〗	~⟨,GG^S⟩
〝	~⟨,NN⟩⟨''^V⟩⟨,''^R⟩
〞	~⟨,PP⟩⟨'''^V⟩⟨,''^S⟩
〠	~⟨,RIV⟩⟨,POS^R⟩
〢	~⟨,RL⟩
〣	~⟨,SI^R⟩
〶	~⟨,ORI⟩⟨,POS^V⟩
